timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1755277200,Aug 15 2025 - 5:00pm,complete,N/A,Girona FC,Rayo Vallecano,N/A,1,0.00,0.00,1.33,0.83,1,3,4,3,0,3,"57","20,18,45",2,4,0,1,1,0,1,0,1,0,7,16,2,5,5,11,8,17,44,56,0.00,0.00,0.86,1.70,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.26,3.15,3.30,1.36,2.15,4.00,9.00,1.85,1.97,Estadi Municipal de Montilivi
1755286200,Aug 15 2025 - 7:30pm,complete,N/A,Villarreal,Real Oviedo,N/A,1,0.00,0.00,2.33,0.45,2,0,2,2,2,0,"29,36","",10,1,1,0,1,1,1,0,2,0,25,5,10,4,15,1,10,8,68,32,0.00,0.00,2.89,0.69,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.41,4.60,9.10,1.25,1.85,3.10,6.75,2.23,1.65,Estadio de la Cerámica
1755365400,Aug 16 2025 - 5:30pm,complete,N/A,RCD Mallorca,FC Barcelona,N/A,1,0.00,0.00,1.58,1.92,0,3,3,2,0,2,"","7,23,90'4",3,6,3,2,1,0,5,0,1,0,4,24,1,8,3,16,8,17,29,71,0.00,0.00,0.50,2.67,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,8.50,5.50,1.33,1.13,1.44,2.45,3.40,1.75,1.95,N/A
1755372600,Aug 16 2025 - 7:30pm,complete,N/A,Deportivo Alavés,Levante UD,N/A,1,0.00,0.00,1.50,0.92,2,1,3,1,1,0,"36,90'2","68",10,1,0,0,1,0,0,0,1,0,15,7,4,3,11,4,15,13,62,38,0.00,0.00,1.71,0.85,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.09,3.15,3.95,1.47,2.60,5.20,12.50,2.10,1.67,Estadio de Mendizorroza
1755372600,Aug 16 2025 - 7:30pm,complete,N/A,Valencia CF,Real Sociedad,N/A,1,0.00,0.00,1.42,0.92,1,1,2,0,0,0,"57","60",8,7,1,0,2,0,1,0,1,1,18,13,2,3,16,10,5,11,54,46,0.00,0.00,1.65,1.32,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.03,3.10,1.44,2.85,5.00,11.00,2.05,1.77,Estadio de Mestalla
1755442800,Aug 17 2025 - 3:00pm,complete,N/A,Celta de Vigo,Getafe CF,N/A,1,0.00,0.00,1.17,1.17,0,2,2,0,0,0,"","47,72",9,3,3,0,2,0,0,3,1,1,11,10,3,3,8,7,15,17,69,31,0.00,0.00,1.42,1.06,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.78,3.25,6.00,1.51,2.64,4.75,7.00,2.37,1.57,N/A
1755451800,Aug 17 2025 - 5:30pm,complete,N/A,Athletic Club Bilbao,Sevilla FC,N/A,1,0.00,0.00,1.67,1.00,3,2,5,2,2,0,"36,43,81","60,72",10,1,0,0,2,0,0,0,2,0,14,12,3,6,11,6,8,12,46,54,0.00,0.00,1.44,1.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.58,3.95,6.40,1.36,2.20,3.60,6.50,2.30,1.62,San Mamés Barria
1755459000,Aug 17 2025 - 7:30pm,complete,N/A,RCD Espanyol,Atlético Madrid,N/A,1,0.00,0.00,1.54,1.17,2,1,3,1,0,1,"84,73","37",1,3,3,0,3,0,0,3,1,2,9,15,5,4,4,11,14,11,40,60,0.00,0.00,1.28,1.63,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,6.80,4.00,1.63,1.27,2.03,3.50,6.70,1.91,1.85,RCDE Stadium
1755543600,Aug 18 2025 - 7:00pm,complete,N/A,Elche CF,Real Betis,N/A,1,0.00,0.00,1.62,1.46,1,1,2,1,0,1,"81","21",1,3,0,0,1,0,0,0,0,1,6,12,2,4,4,8,14,13,68,32,0.00,0.00,0.96,1.25,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.29,3.00,2.29,1.38,2.05,3.74,7.30,1.85,1.83,Estadio Manuel Martínez Valero
1755630000,Aug 19 2025 - 7:00pm,complete,N/A,Real Madrid,CA Osasuna,N/A,1,0.00,0.00,2.75,0.69,1,0,1,0,0,0,"51","",7,0,1,0,0,1,0,1,0,1,18,2,5,0,13,2,10,12,71,29,0.00,0.00,2.14,0.28,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.10,7.10,12.00,1.15,1.49,2.15,3.60,2.07,1.68,Estadio Santiago Bernabéu
